Address,City,State,Zipcode,latitude,longitude,Common Name,Tree,Detail,Image URL,Image_name
1634 Jerrold Avenue,San Francisco,CA,94134,37.739736,-122.39025,river wattle,Acacia cognata,,,acacia_cognata.jpg
3580 21st Street,San Francisco,CA,94114,37.7567015,-122.42735,silver wattle,Acacia dealbata,,,default_tree.png
712 Tennessee Street,San Francisco,CA,94103,37.762709,-122.39002,trident maple,Acer buergeranum,,,acer_buergeranum.jpg
258 Edgewood Avenue,San Francisco,CA,94117,37.761385,-122.45462,hedge maple,Acer campestre,in yard to the right of address,,acer_campestre.jpg
110 Fair Oaks Street,San Francisco,CA,94110,37.7547434,-122.42446,snake bark maple,Acer capillipes,only example of this tree in San Francisco,,acer_capillipes.jpg
36 Macondray Lane,San Francisco,CA,94133,37.799413,-122.41468,bigleaf maple,Acer macrophyllum,,,default_tree.png
2462 Broadway,San Francisco,CA,94115,37.794231,-122.43762,Japanese maple,Acer palmatum,,,default_tree.png
115 Grandview ,San Francisco,CA,94114,37.6546798,-122.38312,Japanese maple,Acer palmatum,,,default_tree.png
345 Grove Street,San Francisco,CA,94102,37.777757,-122.42222,red maple,Acer rubrum,,,default_tree.png
253 Sanchez Street,San Francisco,CA,94114,37.765113,-122.43059,silver maple,Acer saccharinum,,,default_tree.png
696 Pennsylvania,San Francisco,CA,94107,37.757882,-122.39365,sugar maple,Acer saccharum,the tree at the very corner is a sugar maple (only street tree example in SF) - the rest of the trees at this address are freeman maples,,default_tree.png
,,,,37.756952,-122.392891,California buckeye,Aesculus californica,adjacent to the train tracks - head down the stairs from 22nd street near Pennsylvania and walk forward - you can't miss it on your right.  This tree has been landmarked by the City.,,default_tree.png
2694 McAllister Street,San Francisco,CA,94118,37.77569,-122.45632,California buckeye,Aesculus californica,,,aesculus_californica.jpg
945 Dolores Street,San Francisco,CA,94110,37.754257,-122.42497,horsechestnut,Aesculus hippocastanum,,,default_tree.png
2828 Vallejo Street,San Francisco,CA,94123,37.7942805,-122.44388,red horsechestnut,Aesculus X carnea,,,aesculus_carnea.jpg
1285 Hampshire Street,San Francisco,CA,94110,37.751658,-122.4069,common yellowwood,Afrocarpus falcatus,,,default_tree.png
188 Bronte Street,San Francisco,CA,94110,37.7371238,-122.41043,fern pine,Afrocarpus gracilior,https://imgur.com/SZtHNRD,,afrocarpus_gracilior.jpg
,,,,37.78185,-122.424469,Queensland kauri,Agathis robusta,https://imgur.com/a/DbrZfMS,,agathis_robusta.jpg
,,,,37.780082,-122.465163,peppermint willow,Agonis flexuosa,"Across street from 443 7th Avenue, large leaning tree in Muriel Leff park",,default_tree.png
3456 22nd Street,San Francisco,CA,94110,37.755213,-122.4245,peppermint willow,Agonis flexuosa,,,default_tree.png
929 Broderick Street,San Francisco,CA,94115,37.778866,-122.44065,tree of heaven,Ailanthus altissima,in yard above sidewalk,,default_tree.png
2700 21st Street,San Francisco,CA,94110,37.75786,-122.40882,silk tree,Albizia julibrissin,2 trees on York Street side,,default_tree.png
1772 Vallejo Street,San Francisco,CA,94123,37.7965667,-122.42645,titoki tree,Alectron excelsus,,,default_tree.png
,,,,37.772056,-122.4523,Italian alder,Alnus cordata,"Across street from 2094 Fell, in panhandle",,default_tree.png
,,,,37.778958,-122.387658,white alder,Alnus rhombifolia,"east side of Pacific Bell Park, near Gate 3 to the Marina (two rows of trees)",,default_tree.png
138 Hermann,San Francisco,CA,94102,37.77086,-122.42747,white alder,Alnus rhombifolia,,,default_tree.png
295 31st Avenue,San Francisco,CA,94121,37.7837528,-122.4917,red alder,Alnus rubra,,,default_tree.png
243 25th Avenue,San Francisco,CA,94121,37.784902,-122.48542,rose gum,Angophora costata,across street from 243 25th,,default_tree.png
